cluster_id	uri	labels	roleTypes	eventTypes
18	https://archief.amsterdam/indexen/deeds/7c6db25a-95d4-48cd-95d5-bf59d1b7bc48?person=961f6aeb-13e4-53f7-e053-b784100aa83b	Hendrica Kumsius	https://data.goldenagents.org/thesaurus/Getuige	https://data.goldenagents.org/thesaurus/Doop
18	https://archief.amsterdam/indexen/deeds/2a02d33f-7002-4b63-a98c-f675e9d54e0d?person=961f6ad5-2980-53f7-e053-b784100aa83b	Hendrica Kumsius	https://data.goldenagents.org/thesaurus/Getuige	https://data.goldenagents.org/thesaurus/Doop
18	https://archief.amsterdam/indexen/deeds/769287b9-4237-456c-ac8f-d6e3195bfa31?person=961f6adc-a831-53f7-e053-b784100aa83b	Hendrica Kumsius	https://data.goldenagents.org/thesaurus/Getuige	https://data.goldenagents.org/thesaurus/Doop
19	https://archief.amsterdam/indexen/deeds/d5fdf797-77ee-4986-907b-ef9b825d7740?person=961f6b0d-5641-53f7-e053-b784100aa83b	David van Mollem Sijdervelt	https://data.goldenagents.org/thesaurus/Kind	https://data.goldenagents.org/thesaurus/Doop, https://data.goldenagents.org/thesaurus/Geboorte
19	https://archief.amsterdam/indexen/deeds/a3cb51cb-feb7-50ee-e053-b784100a6caf?person=1d004a15-cee1-3f61-5be5-e775abed0700	David van Mollem Sijdervelt	https://data.goldenagents.org/thesaurus/Geregistreerde	https://data.goldenagents.org/thesaurus/Boedelinventaris
20	https://archief.amsterdam/indexen/deeds/7ac461d8-ffa6-44eb-bcf7-9fe16840889a?person=961f6b08-8dc1-53f7-e053-b784100aa83b	Johanna Lóhoff	https://data.goldenagents.org/thesaurus/Getuige	https://data.goldenagents.org/thesaurus/Doop
20	https://archief.amsterdam/indexen/deeds/21969151-7567-4095-b669-df1b21573801?person=961f6af9-a25d-53f7-e053-b784100aa83b	Johanna Lóhoff	https://data.goldenagents.org/thesaurus/Moeder	https://data.goldenagents.org/thesaurus/Doop
25	https://archief.amsterdam/indexen/deeds/fa9fc422-a9a1-4dad-97f8-833a7f8c3c74?person=961f6b08-6ae7-53f7-e053-b784100aa83b	Anna Elisabeth Langen	https://data.goldenagents.org/thesaurus/Moeder	https://data.goldenagents.org/thesaurus/Doop
25	https://archief.amsterdam/indexen/deeds/3574cb73-18d8-42ae-a1ac-b703788c8ce9?person=961f6b02-0cea-53f7-e053-b784100aa83b	Anna Elisabeth Langen	https://data.goldenagents.org/thesaurus/Moeder	https://data.goldenagents.org/thesaurus/Doop
30	https://archief.amsterdam/indexen/deeds/53bce649-58bc-4e89-b375-f97fdd08eb8a?person=961f6b08-02fb-53f7-e053-b784100aa83b	Agatha Levina Geelvinck	https://data.goldenagents.org/thesaurus/Getuige	https://data.goldenagents.org/thesaurus/Doop
30	https://archief.amsterdam/indexen/deeds/0cd49a87-34cf-4837-98a6-5d7bfe6a63ce?person=961f6ae3-f2fd-53f7-e053-b784100aa83b	Agatha Levina Geelvinck	https://data.goldenagents.org/thesaurus/Getuige	https://data.goldenagents.org/thesaurus/Doop
32	https://archief.amsterdam/indexen/deeds/c059744a-1c16-4c16-9219-33ecf3e69d60?person=961f6b17-9819-53f7-e053-b784100aa83b	Hendrik van Beek; Beeck, Hendrik van	https://data.goldenagents.org/thesaurus/Bruidegom, https://data.goldenagents.org/thesaurus/Vader	https://data.goldenagents.org/thesaurus/Ondertrouw, https://data.goldenagents.org/thesaurus/Doop
32	https://archief.amsterdam/indexen/deeds/da325774-8aa1-403a-8e87-de41ca03df4b?person=961f6b1d-aa69-53f7-e053-b784100aa83b	Hendrik van Beek; Beeck, Hendrik van	https://data.goldenagents.org/thesaurus/Bruidegom, https://data.goldenagents.org/thesaurus/Vader	https://data.goldenagents.org/thesaurus/Ondertrouw, https://data.goldenagents.org/thesaurus/Doop
